// General Interaction

test|["Yes, I'm here!!", "Hey there! I'm online and ready to chat.", "Present and ready to help!"] 
tips for phishing|["Watch out for urgent requests — they’re often a red flag","Check the sender’s email for strange addresses or typos","Don’t open attachments unless you trust the source","Use spam filters to reduce phishing attempts","Report suspected phishing to your email provider or IT team"]


phishing safety tips|["Never respond to emails asking for personal info","Double-check URLs before logging into any site","Be careful with messages that ask you to 'act now'","Keep your devices updated to block phishing sites","Educate yourself on common phishing tactics"]


tips on phishing safety|["Treat unexpected messages with caution","Avoid clicking links from unknown senders","Look out for grammar errors and suspicious design in emails","Confirm requests through another channel (e.g., call the company)","Enable multi-factor authentication where possible"]


phishing tip|["Think before you click — phishing often looks legit","Always verify unexpected messages, especially if they involve money","Report phishing emails to help protect others"]



// PASSWORD SAFETY


what is password safety|["Password safety involves creating and managing strong, unique passwords for each online account to prevent unauthorized access", "It's about protecting your digital keys — don’t reuse them, and make them hard to guess."]


password safety|["Passwords are personal keys that allow users to access their own data, therefore password saftey is important to enusure that sensitive data stays private to users.", "Password safety means the privacy of users data by the use of complex passwords"]


strong password|["> Use long, unique passwords > Include letters, numbers, and symbols > Avoid personal info", "> Aim for 12+ characters > Mix upper & lower case letters > Throw in special characters like !@#", "Don’t use names, birthdays, or the word 'password'."]


methods of password safety|["> Each account should have a different password > Use a password manager if needed", "Change passwords regularly, especially if you suspect a breach.", "Enable two-factor authentication wherever possible."]


good password|["Good passwords should contain a mix of both numbers, letters, and special characters", "A good password example? Try something like: H0bbyH0r$e_2025!", "Think passphrase instead of password: 'Tree&Breeze@Sunset' is easier to remember and harder to crack."]


password tips|["Never reuse the same password across multiple accounts — use a password manager if needed.", "Update your passwords at least once a year.", "Avoid using real words alone. Hackers use dictionaries."]


tips for password safety|["Use a long password with letters, numbers, and symbols","Don’t reuse passwords across multiple accounts","Avoid using personal info like names or birthdays","Change your passwords regularly and check for breaches"]


password safety tips|["Use a long password with letters, numbers, and symbols","Don’t reuse passwords across multiple accounts","Avoid using personal info like names or birthdays","Change your passwords regularly and check for breaches"]


tips on password safety|["Use a long password with letters, numbers, and symbols","Don’t reuse passwords across multiple accounts","Avoid using personal info like names or birthdays","Change your passwords regularly and check for breaches"]


password safety tip|["Use a long password with letters, numbers, and symbols","Don’t reuse passwords across multiple accounts","Avoid using personal info like names or birthdays","Change your passwords regularly and check for breaches"]


// SAFE BROWSING


what is safe browsing|["Safe browsing refers to habits and practices that protect users while navigating the internet.", "It’s about being aware and cautious when surfing the web to avoid scams, malware, and data leaks."]


safe browsing|["Safe browsing includes: > Avoiding suspicious links > Not downloading unknown files > Checking website security", "Stay safe by: > Using secure (HTTPS) websites > Avoiding public Wi-Fi for transactions > Keeping your browser updated", "To browse safely: > Be cautious of pop-ups > Use antivirus software > Don’t share personal info carelessly"]


examples of safe browsing|["Avoid clicking on pop-up ads that say you’ve won a prize—these are often scams.", "When shopping online, make sure the site uses HTTPS and has a padlock icon.", "Before downloading software, verify the source is trusted and read user reviews."]


safe browsing examples|["Using incognito mode on public computers is a safe browsing habit.", "Logging out after using online banking is another good example."]


safe browsing practices|["When using public Wi-Fi, avoid logging into banking or email accounts unless you're on a VPN.", "Use browser extensions that block trackers and ads.", "Keep your system and antivirus software updated."]


tips for safe browsing|["Avoid clicking on suspicious links or pop-ups","Only enter personal info on secure (HTTPS) websites","Use a VPN on public Wi-Fi","Don’t download files from untrusted sources"]


tip for safe browsing|["Avoid clicking on suspicious links or pop-ups","Only enter personal info on secure (HTTPS) websites","Use a VPN on public Wi-Fi","Don’t download files from untrusted sources"]


safe browsing tip|["Avoid clicking on suspicious links or pop-ups","Only enter personal info on secure (HTTPS) websites","Use a VPN on public Wi-Fi","Don’t download files from untrusted sources"]

